id_publisher,nombre,deck,descripcion,url_logo,local_logo_image_path,sitio_web
10,DC Comics,"Originally known as ""National Publications"", DC is a publisher of comic books featuring iconic characters and teams such as Superman, Batman, Wonder Woman, Green Lantern, the Justice League of America, and the Teen Titans, and is considered the originator of the American superhero genre. DC, along with rival Marvel Comics, is one of the ""big two"" American comic book publishers. DC Entertainment is a subsidiary of Warner Brothers and its parent company Time Warner.",,https://comicvine.gamespot.com/api/image/scale_large/5213245-dc_logo_blue_final.jpg,/home/pedro/PycharmProjects/BabelComic-II/images/logo publisher/5213245-dc_logo_blue_final.jpg,https://comicvine.gamespot.com/dc-comics/4010-10/
31,Marvel,"Formerly known by names including ""Atlas"" and ""Timely"", Marvel Entertainment is the publisher of comic books featuring iconic characters and teams such as the Fantastic Four, Spider-Man, the Avengers, the X-Men, Iron Man, the Hulk, Thor, Captain America and Daredevil. Currently owned by the Walt Disney Company, Marvel is one of the ""Big Two"" comic publishers along with DC Comics.",,https://comicvine.gamespot.com/api/image/scale_large/426367-marvel.gif,/home/pclbusto/PycharmProjects/BabelComic-II/images/logo publisher/426367-marvel.gif,https://comicvine.gamespot.com/marvel/4010-31/
364,Dark Horse Comics,"Dark Horse Comics is one of the largest independent comic book publishers, best known for Hellboy and various Star Wars titles.",,https://comicvine.gamespot.com/api/image/scale_large/412843-dkhlogo.gif,/home/pclbusto/PycharmProjects/BabelComic-II/images/logo publisher/412843-dkhlogo.gif,https://comicvine.gamespot.com/dark-horse-comics/4010-364/
513,Image,"Image Comics was founded in 1992 by a group of high-profile comic book writers and artists, as a way to publish stories owned by creators rather than the company itself. They are now one of the largest comic book publishers in the United States.",,https://comicvine.gamespot.com/api/image/scale_large/5825355-3357700787-c1a90.jpg,/home/pclbusto/PycharmProjects/BabelComic-II/images/logo publisher/5825355-3357700787-c1a90.jpg,https://comicvine.gamespot.com/image/4010-513/
517,Mirage,"An American comic book publisher most famous of its ""Teenage Mutant Ninja Turtles"" Comics.",,https://comicvine.gamespot.com/api/image/scale_large/1079733-mirage.jpg,/home/pclbusto/PycharmProjects/BabelComic-II/images/logo publisher/1079733-mirage.jpg,https://comicvine.gamespot.com/mirage/4010-517/
1112,Dreamwave Productions,Dreamwave Productions was an art studio and comic book publisher that's best known for relaunching the Transformers franchise in comic book form.  It is now bankrupt.,,https://comicvine.gamespot.com/a/uploads/scale_large/0/9241/522830-0000.jpg,/home/pedro/PycharmProjects/BabelComic-II/images/logo publisher/522830-0000.jpg,https://comicvine.gamespot.com/dreamwave-productions/4010-1112/
1190,IDW Publishing,"IDW Publishing (Idea   Design Works, LLC) is a comic book publisher known for Steve Niles’ horror title 30 Days of Night. It has grown to include both original series as well as licensed property.",,https://comicvine.gamespot.com/api/image/scale_large/2082107-idw_logo_ff.jpg,/home/pclbusto/PycharmProjects/BabelComic-II/images/logo publisher/2082107-idw_logo_ff.jpg,https://comicvine.gamespot.com/idw-publishing/4010-1190/
1865,UDON,"Publisher of the Street Fighter and Darkstalkers (Night Warriors) comics.
Also published several artbooks.",,https://comicvine1.cbsistatic.com/uploads/scale_large/3/38826/1090217-0udon2.jpg,/home/pedro/PycharmProjects/BabelComic-II/images/logo publisher/1090217-0udon2.jpg,https://comicvine.gamespot.com/udon/4010-1865/
2699,Marvel Knights,"Marvel Knights is a Marvel Comics imprint which deals with more mature themes than the Marvel Universe imprint, but not such adult themes as touched on by the MAX imprint.",,https://comicvine1.cbsistatic.com/uploads/scale_large/4/40136/1336428-marvel_mk.jpg,/home/pedro/PycharmProjects/BabelComic-II/images/logo publisher/1336428-marvel_mk.jpg,https://comicvine.gamespot.com/marvel-knights/4010-2699/
2812,Marvel UK,Marvel UK was an imprint launched by Marvel Comics which served as a publisher in the United Kingdom. The imprint is now merged with Panini Comics.,,https://comicvine.gamespot.com/api/image/scale_large/2969683-scook_marveluk.jpg,/home/pclbusto/PycharmProjects/BabelComic-II/images/logo publisher/2969683-scook_marveluk.jpg,https://comicvine.gamespot.com/marvel-uk/4010-2812/
2861,Skybound,"Skybound is a comics publishing imprint founded by Robert Kirkman in 2010, after he became a partner in Image Comics in 2008.",,https://comicvine1.cbsistatic.com/uploads/scale_large/5/58790/1658403-skybound.jpg,/home/pedro/PycharmProjects/BabelComic-II/images/logo publisher/1658403-skybound.jpg,https://comicvine.gamespot.com/skybound/4010-2861/
2862,,,,,,
4936,Lion Forge Comics,The legends of tomorrow forged from the technology of the future,,https://comicvine.gamespot.com/a/uploads/scale_large/1/15776/9589912-lionforge.jpg,/home/pedro/PycharmProjects/BabelComic-II/images/logo publisher/9589912-lionforge.jpg,https://comicvine.gamespot.com/lion-forge-comics/4010-4936/
